dataset,rmse,cliff_rmse,method
CHEMBL3979_EC50,1.1170306169446067,1.0333453383386582,median
CHEMBL262_Ki,1.103621028333476,1.0967160872965478,median
CHEMBL238_Ki,1.1355021820754532,1.186784285721924,median
CHEMBL1871_Ki,1.0184597101793647,1.1261040172173609,median
CHEMBL236_Ki,1.3352461430083877,1.2627951630882526,median
CHEMBL233_Ki,1.3134700542771907,1.2485834492655845,median
CHEMBL228_Ki,1.2153146880469268,1.1491585932735295,median
CHEMBL4005_Ki,1.0021230601048186,0.9841800925410046,median
CHEMBL235_EC50,1.0742376011513624,1.1621240802245048,median
CHEMBL4203_Ki,1.08247315135955,1.1156303189708816,median
CHEMBL2147_Ki,1.8676418359228677,1.7409133808607244,median
CHEMBL219_Ki,1.1192175524429893,1.1508977367733317,median
CHEMBL264_Ki,1.0728171706243683,1.0684381015302555,median
CHEMBL1862_Ki,1.4291334033283094,1.472538578913958,median
CHEMBL4616_EC50,0.9329200100570959,0.860693724293579,median
CHEMBL214_Ki,1.1717724793709854,1.141552289602787,median
CHEMBL2835_Ki,1.015569375514407,1.4712286234097842,median
CHEMBL237_Ki,1.366035211088685,1.3520070672536826,median
CHEMBL237_EC50,1.4179560132844995,1.1840480699433733,median
CHEMBL4792_Ki,1.0728082043688287,1.045244083891739,median
CHEMBL2034_Ki,1.092964301591487,1.1829916692779814,median
CHEMBL231_Ki,1.2829572522266905,1.1992070526823182,median
CHEMBL2047_EC50,0.9944392322043628,0.9566835421894537,median
CHEMBL287_Ki,1.1258298035789283,1.1017907614046607,median
CHEMBL239_EC50,1.134089151517062,1.2414902952507383,median
CHEMBL244_Ki,1.6574620275625662,1.5217086668497544,median
CHEMBL2971_Ki,1.4742098914052149,1.7396981032247805,median
CHEMBL234_Ki,1.1860413208940546,1.1709970812100745,median
CHEMBL204_Ki,1.5497709311180297,1.617426364977935,median
CHEMBL218_EC50,1.0314039688407997,1.0393375641444627,median
